Time,OWD
76.874376,130.108
76.874377,128.901
76.874377,127.694
76.874378,126.488
76.874378,125.28
76.874379,124.074
76.881278,129.766
76.881279,128.56
76.881279,127.353
76.88128,126.146
76.881321,124.981
76.894562,137.014
76.894562,135.807
76.894563,134.601
76.894563,133.394
76.894564,132.188
76.894564,130.979
76.894565,129.17
76.894565,127.963
76.894616,126.807
76.894616,125.599
76.901304,131.081
76.907872,136.442
76.914354,141.716
76.914355,140.51
76.914355,139.302
76.914356,138.096
76.914356,136.89
76.914356,135.682
76.914357,134.476
76.914357,133.269
76.91441,132.115
76.914411,130.908
76.914411,129.7
76.921244,135.327
76.921244,134.12
76.921245,132.914
76.921245,131.706
76.921246,130.5
76.921247,127.483
76.921247,126.276
76.921299,125.121
76.927975,130.589
76.927976,129.383
76.927976,128.177
76.927977,126.97
76.927977,125.762
76.927978,124.557
76.941335,136.706
76.941336,135.5
76.941336,134.293
76.941337,133.087
76.941337,131.879
76.941337,130.672
76.941338,129.466
76.941338,128.253
76.941389,127.103
76.941389,125.895
76.947755,131.054
76.954692,136.784
76.954693,134.974
76.954693,133.767
76.954694,132.561
76.954694,131.354
76.954771,130.224
76.954771,129.017
76.954772,127.81
76.954772,126.603
76.954773,125.396
76.968055,137.471
76.968056,136.266
76.968056,135.058
76.968116,133.911
76.968117,132.704
76.968117,131.498
76.968117,130.291
76.968118,129.084
76.968139,127.898
76.968139,126.69
76.97448,131.825
76.974481,130.619
76.974536,129.465
76.974573,127.692
76.974574,126.486
76.974574,125.278
76.974575,124.073
76.974575,122.866
76.974605,121.688
76.974605,120.481
77.043132,187.801
77.043133,186.595
77.043134,185.389
77.043134,184.181
77.043134,182.974
77.043135,181.767
77.043135,180.561
77.043136,179.354
77.043193,178.204
77.043194,176.998
77.043194,175.791
77.043195,174.585
77.043195,173.377
77.043195,172.171
77.043196,170.965
77.043196,169.153
77.043227,167.977
77.043227,166.77
77.074591,170.972
77.074592,169.766
77.074593,168.559
77.074593,167.353
77.074593,166.145
77.074594,164.939
77.074594,163.728
77.074595,162.525
77.074659,161.382
77.074659,160.175
77.081183,165.492
77.081184,164.286
77.087796,169.688
77.094654,175.341
77.094655,174.135
77.094715,172.987
77.094715,171.781
77.094716,170.575
77.094716,169.367
77.094717,168.161
77.094739,166.372
77.09474,165.166
77.09474,163.959
77.102018,170.03
77.102019,168.823
77.10202,167.617
77.10202,166.41
77.102021,165.204
77.102021,163.997
77.102283,163.052
77.102284,161.845
77.102284,160.637
77.102285,159.432
77.102285,158.225
77.102285,157.018
77.102286,155.811
77.102286,154.604
77.102318,153.428
77.102319,152.223
77.102319,151.016
77.10232,149.807
77.10232,148.601
77.107925,152.395
77.107926,151.19
77.107927,149.984
77.107927,148.777
77.107928,147.57
77.107928,146.363
77.108078,145.306
77.108078,144.099
77.114967,149.78
77.114968,148.575
77.114968,147.367
77.114969,146.161
77.114969,144.954
77.11497,143.748
77.11497,142.541
77.11497,141.333
77.121271,146.427
77.121272,145.221
77.121273,144.015
77.121273,142.808
77.121273,141.601
77.121274,140.394
77.121274,138.583
77.121275,137.377
